Modell,Variante,Baujahr,Kategorie,Komponente,Zulieferer,OEM Teilenummer
CLA,CLA 250 e,2025,,Batteriezellen (LFP),BYD,
CLA,CLA 250 e,2025,,Batteriemanagement-System,Bosch (vermutlich),
CLA,CLA 250 e,2025,,800V-Elektromotor,Mercedes-Benz,
CLA,CLA 250 e,2025,,Inverter (Siliziumkarbid),Infineon,
CLA,CLA 250 e,2025,,Getriebe für E-Motor (zweistufig),Mercedes-Benz,
CLA,CLA 250 e,2025,,2.0L Benzinmotor,Geely,
CLA,CLA 250 e,2025,,Direkteinspritzung,Bosch,
CLA,CLA 250 e,2025,,Abgasanlage inkl. Katalysator,Eberspächer,
CLA,CLA 250 e,2025,,8G-Doppelkupplungsgetriebe,Magna,
CLA,CLA 250 e,2025,,Stoßdämpfer,ZF,
CLA,CLA 250 e,2025,,Elektrische Servolenkung (EPS),Bosch,
CLA,CLA 250 e,2025,,Lenksäule,Thyssenkrupp,
CLA,CLA 250 e,2025,,One-Box-Bremssystem,Continental,
CLA,CLA 250 e,2025,,iBooster (Hybridbremse),Bosch,
CLA,CLA 250 e,2025,,LED-Matrix-Scheinwerfer (Multibeam),HELLA,
CLA,CLA 250 e,2025,,LED-Heckleuchten,odelo,
CLA,CLA 250 e,2025,,Sitzkomfortsysteme,Continental,
CLA,CLA 250 e,2025,,Oberflächen für Innenverkleidung,Continental,
CLA,CLA 250 e,2025,,Türschlösser,Kiekert,
CLA,CLA 250 e,2025,,Schließmechanismen/Funkschlüssel,Huf,
CLA,CLA 250 e,2025,,Cockpitmodul,Dräxlmaier,
CLA,CLA 250 e,2025,,Frontkamera,Bosch,
CLA,CLA 250 e,2025,,Radarsensoren,Continental,
CLA,CLA 250 e,2025,,360°-Kamerasystem,Valeo,
CLA,CLA 250 e,2025,,Ultraschallsensoren,HELLA,
CLA,CLA 250 e,2025,,Bordnetz-Kabelbäume,Leoni,
CLA,CLA 250 e,2025,,Reifen,Continental,
BMW 1er,BMW 1er (F70) 2024,2024,,Motor-Kabelbäume / 48-Volt-Versorgung,Nexans,
BMW 1er,BMW 1er (F70) 2024,2024,,Motorunterschutz / Anbauteile,Autoneum,
BMW 1er,BMW 1er (F70) 2024,2024,,Benzin-Rail / Ausgleichswelle,Hirschvogel,
BMW 1er,BMW 1er (F70) 2024,2024,,Motorlagerung,Continental,
BMW 1er,BMW 1er (F70) 2024,2024,,5G-Antenne,WISI,
BMW 1er,BMW 1er (F70) 2024,2024,,Verstärker / Antenne / HBL-Filter,Hirschmann Car Communications,
BMW 1er,BMW 1er (F70) 2024,2024,,Außenspiegel,Motherson,
BMW 1er,BMW 1er (F70) 2024,2024,,Aufnahme Dichtung / Abdichtung Frontleuchte,BBP,
BMW 1er,BMW 1er (F70) 2024,2024,,Unterbodenverkleidung / Diffusor,Techniplas,
BMW 1er,BMW 1er (F70) 2024,2024,,Scharnierverstärkungen / Halter Tank / Federtopf,Mühlhoff,
BMW 1er,BMW 1er (F70) 2024,2024,,Dom-Stirnwandstrebe,Meleghy Automotive,
BMW 1er,BMW 1er (F70) 2024,2024,,Steckergehäuse-Verkabelung,Hirschmann,
BMW 1er,BMW 1er (F70) 2024,2024,,Verstärkung Heckklappe,Citic Dicastal,
BMW 1er,BMW 1er (F70) 2024,2024,,Seitenaufprallträger / Achsanbindung,Gedia,
BMW 1er,BMW 1er (F70) 2024,2024,,Schweller / Stoßfängerplatte,Linde + Wiemann,
BMW 1er,BMW 1er (F70) 2024,2024,,Radhausverkleidung / Unterbodenschilde,Autoneum,
BMW 1er,BMW 1er (F70) 2024,2024,,Verstärkung Schließbügel,Snop,
BMW 1er,BMW 1er (F70) 2024,2024,,Heckklappentilger,Vibracoustic,
BMW 1er,BMW 1er (F70) 2024,2024,,Frontend / BIW-Bauteile,Kirchhoff,
BMW 1er,BMW 1er (F70) 2024,2024,,Batterieträger / Kunststoffhalter,Dräxlmaier,
BMW 1er,BMW 1er (F70) 2024,2024,,NVA-Anbauteile,Autoneum,
BMW 1er,BMW 1er (F70) 2024,2024,,Abdichtung Spiegeldreieck / Blende,Junkerwerk Linder,
BMW 1er,BMW 1er (F70) 2024,2024,,Heckentlüftungen,EuWe,
BMW 1er,BMW 1er (F70) 2024,2024,,Interieurleiste,NBHX,
BMW 1er,BMW 1er (F70) 2024,2024,,Innenlicht,Magna,
BMW 1er,BMW 1er (F70) 2024,2024,,Sonnenblenden,Grupo Antolin,
BMW 1er,BMW 1er (F70) 2024,2024,,Innenraumsensor / Mittelkonsole,Preh,
BMW 1er,BMW 1er (F70) 2024,2024,,Hintersitzverkleidung,Ideal Automotive,
BMW 1er,BMW 1er (F70) 2024,2024,,Teppiche / Kofferraummatten,Autoneum,
